City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
969,Oussouye,SN,77.0,broken clouds,12.48,-16.55,Auberge du Routard
976,Sinnamary,GF,78.39,light rain,5.38,-52.95,ALETHEIA Appartement Sinnamary
982,Havelock,US,75.2,clear sky,34.88,-76.9,Sherwood Motel
985,Bengkulu,ID,84.87,clear sky,-3.8,102.27,Grage Hotel Bengkulu
986,Toba,JP,86.0,broken clouds,34.48,136.85,ホテル アルティア鳥羽
997,Butaritari,KI,83.32,overcast clouds,3.07,172.79,Isles Sunset Lodge
1000,Kapaa,US,82.4,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
1006,Codajas,BR,78.37,scattered clouds,-3.84,-62.06,Hotel Tamires
1012,Salina,US,84.2,clear sky,38.84,-97.61,Holiday Inn Express & Suites Salina
1014,Vaini,TO,75.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
1016,Miyako,JP,85.82,scattered clouds,39.64,141.95,Hotel Route Inn Miyako
1020,Hilo,US,82.4,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
1024,Oriximina,BR,79.25,scattered clouds,-1.77,-55.87,Pousada Tia Amélia
1025,Dingle,PH,88.0,overcast clouds,11.0,122.67,Camp Pasica
1040,Meulaboh,ID,85.78,few clouds,4.14,96.13,Kost Pria
1043,Atuona,PF,78.66,light rain,-9.8,-139.03,Villa Enata
1044,Hilo,US,82.4,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
1049,Butaritari,KI,83.32,overcast clouds,3.07,172.79,Isles Sunset Lodge
1055,Kavieng,PG,85.41,clear sky,-2.57,150.8,Nusa Island Retreat
1056,Manokwari,ID,85.42,light rain,-0.87,134.08,Swiss Belhotel Manokwari
1057,Irbil,IQ,87.55,clear sky,36.19,44.01,Erbil International Hotel
1060,Fomboni,KM,76.05,clear sky,-12.28,43.74,Auberge les abou
1063,Vaini,TO,75.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
1065,Hobyo,SO,77.22,few clouds,5.35,48.53,Osmani Hotel
1066,Gat,IL,77.0,few clouds,31.61,34.76,OlusHome
1068,Iwade,JP,86.0,light intensity shower rain,34.25,135.32,ホテル エスタシオン
1070,Chitrakonda,IN,85.14,clear sky,18.12,82.08,Government girls hostel
1074,Naze,JP,84.2,broken clouds,28.37,129.48,奄美ポートタワーホテル
1077,Atuona,PF,78.66,light rain,-9.8,-139.03,Villa Enata
1080,Kieta,PG,85.86,few clouds,-6.22,155.63,
1087,Georgetown,MY,87.8,few clouds,5.41,100.34,Cititel Penang
1097,Vaini,TO,75.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
